"Squad","Player","Pos","Age","90s","Total-Cmp","Total-Att","Total-Cmp%","Total-TotDist","Total-PrgDist","Short-Cmp","Short-Att","Short-Cmp%","Medium-Cmp","Medium-Att","Medium-Cmp%","Long-Cmp","Long-Att","Long-Cmp%","Ast","xAG","xA","A-xAG","KP","OneThird","PPA","CrsPA","PrgP"
"Morocco","Sofyan Amrabat","MF",25,7.3,269,322,83.5,4620,1365,114,129,88.4,123,136,90.4,24,36,66.7,0,0.1,0.1,"+AC0-0.1",2,10,1,0,28
"Morocco","Hakim Ziyech","FW",29,7.1,211,306,69,3462,987,118,139,84.9,57,79,72.2,27,62,43.5,1,0.7,0.5,0.3,7,16,7,0,28
"Morocco","Achraf Hakimi","DF",23,7,312,382,81.7,4121,1792,207,232,89.2,63,80,78.8,19,32,59.4,1,0.5,0.6,0.5,6,14,6,5,20
"Morocco","Youssef EnNesyri","FW",25,6,50,81,61.7,646,119,26,37,70.3,14,23,60.9,3,6,50,0,0,0,0,1,3,0,0,1
"Morocco","Sofiane Boufal","FW",28,5.3,99,133,74.4,1645,469,58,71,81.7,25,36,69.4,12,17,70.6,0,0.3,0.5,0.3,4,10,6,2,18
"Morocco","Yassine Bounou","GK",31,6.3,154,209,73.7,4346,3101,29,29,100,82,84,97.6,43,94,45.7,0,0,0,0,0,0,0,0,0
"Morocco","Azzedine Ounahi","MF",22,6.3,216,265,81.5,3026,786,134,150,89.3,63,74,85.1,13,20,65,0,0.5,0.4,0.5,6,20,6,0,26
"Morocco","Romain Saiss","DF",32,5.2,159,199,79.9,3400,1479,44,47,93.6,89,102,87.3,24,46,52.2,0,0,0,0,0,8,1,0,9
"Morocco","Noussair Mazraoui","DF",24,4.1,98,121,81,1540,571,53,57,93,36,43,83.7,7,16,43.8,0,0,0.1,0,1,2,1,1,5
"Morocco","Selim Amallah","MF",25,4.5,65,87,74.7,840,176,42,48,87.5,17,23,73.9,3,9,33.3,0,0.1,0.1,0.1,3,4,2,0,4
"Morocco","Nayef Aguerd","DF",26,3.9,137,158,86.7,2659,996,53,57,93,64,68,94.1,20,31,64.5,0,0,0,0,1,3,0,0,3
"Morocco","Jawad El Yamiq","DF",30,3.4,146,164,89,2260,940,79,87,90.8,61,64,95.3,6,12,50,0,0,0,0,0,2,0,0,5
"Morocco","Yahya Attiat Allah","DF",27,3.5,98,137,71.5,1593,728,46,54,85.2,41,56,73.2,9,18,50,1,1.2,0.3,0.2,5,4,4,4,9
"Morocco","Achraf Dari","DF",23,2.1,99,111,89.2,1812,752,37,39,94.9,55,57,96.5,7,13,53.8,0,0,0,0,0,3,0,0,3
"Morocco","Abdelhamid Sabiri","MF",25,2,45,58,77.6,690,122,30,33,90.9,7,13,53.8,7,10,70,1,0.9,0.1,0.1,3,3,0,0,1
"Morocco","Munir","GK",33,1,19,28,67.9,597,413,2,2,100,10,10,100,7,16,43.8,0,0,0,0,0,0,0,0,0
"Morocco","Bilal El Khannous","MF",18,0.6,20,24,83.3,337,67,8,9,88.9,5,5,100,3,3,100,0,0,0,0,0,1,0,0,3
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,10,13,76.9,118,38,8,9,88.9,2,2,100,0,2,0,0,0.3,0.4,0.3,2,0,0,0,2
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,7,14,50,88,22,5,8,62.5,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,1
"Morocco","Abderrazak Hamdallah","FW",31,0.8,8,15,53.3,64,11,7,9,77.8,0,4,0,0,0,,0,0,0,0,0,1,0,0,0
"Morocco","Walid Cheddira","FW",24,0.7,4,8,50,51,28,4,4,100,0,3,0,0,0,,0,0,0,0,0,1,0,0,3
"Morocco","Badr Banoun","DF",28,0.6,21,22,95.5,400,110,7,7,100,11,11,100,3,4,75,0,0,0,0,0,0,0,0,1
"Morocco","Ilias Chair","MF",24,0.5,13,15,86.7,188,54,8,8,100,4,5,80,1,2,50,0,0,0,0,0,1,0,0,0
"Morocco","Anass Zaroury","FW",21,0.3,8,13,61.5,92,10,5,5,100,2,3,66.7,0,2,0,0,0,0,0,0,1,0,0,0
"Morocco","Yahya Jabrane","MF",30,0.2,,,,,,,,,,,,,,,0,,,,,,,,
"France","Aurelien Tchouameni","MF",22,6.9,424,474,89.5,7447,1871,183,196,93.4,205,221,92.8,30,42,71.4,0,1,0.4,1,6,48,3,0,50
"France","Kylian Mbappe","FW",23,6.6,173,229,75.5,2564,645,110,123,89.4,48,61,78.7,12,25,48,2,1.3,1.3,0.7,11,16,8,2,25
"France","Hugo Lloris","GK",35,6.3,110,182,60.4,3602,2901,18,18,100,47,49,95.9,45,114,39.5,0,0,0,0,0,2,0,0,0
"France","Antoine Griezmann","MF",31,6,258,329,78.4,4900,1373,123,135,91.1,89,112,79.5,42,66,63.6,3,3.1,3.6,0.1,21,26,10,5,36
"France","Raphael Varane","DF",29,5.8,256,286,89.5,5125,1467,78,85,91.8,155,162,95.7,23,38,60.5,0,0,0,0,0,20,0,0,7
"France","Ousmane Dembele","FW",25,4.8,145,192,75.5,2332,475,76,89,85.4,51,63,81,12,25,48,2,1.6,1,0.4,11,7,13,6,15
"France","Olivier Giroud","FW",35,4.7,48,74,64.9,633,148,37,50,74,9,18,50,1,2,50,0,0.1,0.3,0.1,2,4,1,0,9
"France","Theo Hernandez","DF",24,5.6,289,339,85.3,4669,1343,156,169,92.3,105,119,88.2,25,39,64.1,2,1.2,1,0.8,11,23,7,5,23
"France","Adrien Rabiot","MF",27,5.4,237,284,83.5,3780,847,128,144,88.9,84,95,88.4,18,26,69.2,1,0.9,0.5,0.1,3,36,0,0,18
"France","Jules Kounde","DF",23,5.3,252,311,81,4131,1297,128,137,93.4,98,121,81,22,29,75.9,0,0.1,0.1,0.1,1,25,0,0,20
"France","Dayot Upamecano","DF",23,5.3,314,351,89.5,6860,2217,83,88,94.3,172,179,96.1,56,75,74.7,0,0.1,0.1,0.1,2,28,0,0,26
"France","Ibrahima Konate","DF",23,3.3,215,235,91.5,4319,1516,71,76,93.4,118,124,95.2,26,34,76.5,0,0.4,0.3,0.4,2,22,1,0,18
"France","Youssouf Fofana","MF",23,2.5,96,112,85.7,1582,341,46,53,86.8,43,44,97.7,6,11,54.5,0,0.2,0.1,0.2,1,14,1,0,11
"France","Randal Kolo Muani","FW",23,2,25,43,58.1,325,36,19,28,67.9,6,8,75,0,0,,0,0,0,0,0,2,0,0,1
"France","Kingsley Coman","FW,MF",26,1.9,56,72,77.8,835,123,32,35,91.4,20,25,80,4,10,40,0,0.1,0.2,0.1,1,1,2,1,1
"France","Eduardo Camavinga","DF",19,1.6,88,101,87.1,1444,423,48,50,96,37,41,90.2,3,7,42.9,0,0.1,0.1,0.1,3,3,2,1,6
"France","Axel Disasi","DF",24,1,61,78,78.2,918,302,30,36,83.3,24,30,80,2,4,50,0,0,0,0,0,2,0,0,7
"France","Steve Mandanda","GK",37,1,19,31,61.3,414,303,2,2,100,15,15,100,2,14,14.3,0,0,0,0,0,0,0,0,0
"France","Benjamin Pavard","DF",26,1,82,90,91.1,1249,249,47,48,97.9,32,35,91.4,2,6,33.3,0,0,0,0,0,10,0,0,4
"France","Matteo Guendouzi","FW,MF",23,0.9,27,33,81.8,399,79,17,21,81,9,9,100,1,2,50,0,0,0,0,0,4,0,0,1
"France","Jordan Veretout","MF",29,0.7,33,36,91.7,609,139,13,15,86.7,16,16,100,4,4,100,0,0,0,0,0,3,0,0,2
"France","Lucas Hernandez","DF",26,0.1,5,10,50,66,16,4,7,57.1,1,1,100,0,1,0,0,0,0,0,0,1,0,0,1
"France","Marcus Thuram","FW,MF",24,1.7,27,40,67.5,366,86,20,25,80,4,10,40,2,3,66.7,2,0.3,0.1,1.7,4,1,5,0,6
"France","William Saliba","DF",21,0.3,37,37,100,640,217,12,12,100,24,24,100,1,1,100,0,0,0,0,1,2,0,0,2
"Croatia","Josko Gvardiol","DF",20,7.7,464,519,89.4,8363,3112,195,204,95.6,224,244,91.8,39,58,67.2,0,0,0.3,0,1,26,1,0,32
"Croatia","Dominik Livakovic","GK",27,7.7,194,228,85.1,4572,3311,67,67,100,81,81,100,43,76,56.6,0,0,0,0,0,3,0,0,0
"Croatia","Ivan Perisic","FW,DF",33,7.4,202,292,69.2,3127,666,118,141,83.7,58,91,63.7,17,36,47.2,3,0.9,0.6,2.1,9,11,9,3,21
"Croatia","Luka Modric","MF",36,7.3,465,551,84.4,7825,2857,229,244,93.9,173,202,85.6,45,71,63.4,0,0.7,0.8,0.7,6,51,10,3,82
"Croatia","Mateo Kovacic","MF",28,7.1,415,460,90.2,6213,1384,236,250,94.4,144,156,92.3,21,31,67.7,0,1,1.2,1,9,47,7,0,52
"Croatia","Andrej Kramaric","FW,MF",30,5.3,153,176,86.9,2049,233,104,111,93.7,35,38,92.1,7,12,58.3,0,0.2,0.3,0.2,4,0,3,1,7
"Croatia","Josip Juranovic","DF",26,6.7,318,405,78.5,4928,1748,183,195,93.8,101,133,75.9,24,47,51.1,1,0.3,0.3,0.7,7,24,6,4,34
"Croatia","Dejan Lovren","DF",32,6.7,405,460,88,7863,2519,137,150,91.3,219,235,93.2,44,65,67.7,1,0,0.1,1,1,14,1,1,23
"Croatia","Marcelo Brozovic","MF",29,6.1,466,530,87.9,7429,1726,253,279,90.7,151,167,90.4,48,54,88.9,0,0.2,0.2,0.2,5,31,1,0,42
"Croatia","Borna Sosa","DF",24,4.7,220,278,79.1,3068,1123,143,154,92.9,61,83,73.5,10,23,43.5,0,0.4,0.5,0.4,2,11,3,2,17
"Croatia","Marko Livaja","FW",28,2.7,35,58,60.3,502,133,18,27,66.7,14,19,73.7,1,2,50,1,0.1,0.1,0.9,3,4,3,0,8
"Croatia","Mario Pasalic","FW,MF",27,3,76,95,80,1146,343,42,46,91.3,24,29,82.8,6,8,75,0,0.2,0.2,0.2,1,3,1,1,6
"Croatia","Bruno Petkovic","FW",27,2.6,40,75,53.3,590,119,22,34,64.7,10,17,58.8,4,8,50,0,0.3,0.2,0.3,4,7,0,0,4
"Croatia","Nikola Vlasic","FW,MF",24,2.3,45,55,81.8,570,94,27,27,100,15,18,83.3,0,2,0,0,0,0.1,0,0,4,2,1,4
"Croatia","Mislav Orsic","FW",29,1.8,40,54,74.1,478,160,28,32,87.5,10,15,66.7,0,3,0,2,1.1,0.6,0.9,5,2,4,0,5
"Croatia","Lovro Majer","MF,FW",24,1.4,78,98,79.6,1165,300,43,47,91.5,27,34,79.4,3,8,37.5,0,0.1,0.3,0.1,2,5,4,3,5
"Croatia","Borna Barisic","DF",29,1.3,50,69,72.5,818,290,23,26,88.5,19,27,70.4,5,11,45.5,0,0.1,0.2,0.1,1,2,4,3,3
"Croatia","Josip Stanisic","DF",22,1,36,49,73.5,611,129,20,24,83.3,13,15,86.7,3,5,60,0,0,0,0,0,0,0,0,1
"Croatia","Josip Sutalo","DF",22,1,62,66,93.9,1178,314,22,23,95.7,34,36,94.4,5,6,83.3,0,0,0,0,0,1,0,0,2
"Croatia","Ante Budimir","FW",30,0.6,2,5,40,12,0,1,1,100,0,2,0,0,0,,0,0,0,0,1,0,0,0,0
"Croatia","Kristijan Jakic","FW",25,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
"Argentina","Emiliano Martinez","GK",29,7.7,120,187,64.2,2830,1864,33,33,100,62,62,100,24,89,27,0,0,0,0,0,1,0,0,0
"Argentina","Lionel Messi","FW",34,7.7,300,371,80.9,4533,1561,170,182,93.4,93,110,84.5,27,47,57.4,3,2.5,1.9,0.5,21,38,18,0,66
"Argentina","Nicolas Otamendi","DF",34,7.7,532,577,92.2,8827,2913,236,250,94.4,266,284,93.7,25,35,71.4,1,0.2,0.2,0.8,2,20,0,0,34
"Argentina","Rodrigo De Paul","MF",28,6.7,470,562,83.6,6949,1446,281,306,91.8,164,192,85.4,18,38,47.4,0,0.3,0.4,0.3,7,35,7,1,37
"Argentina","Nahuel Molina","DF",24,6.3,291,358,81.3,3912,1346,188,221,85.1,77,94,81.9,16,23,69.6,1,0.3,0.3,0.7,3,17,3,1,15
"Argentina","Alexis Mac Allister","MF",23,6.1,234,265,88.3,3274,548,147,162,90.7,69,76,90.8,9,13,69.2,1,0.9,0.6,0.1,8,12,6,0,24
"Argentina","Cristian Romero","DF",24,6.1,337,375,89.9,5417,2110,175,186,94.1,137,151,90.7,21,30,70,0,0,0,0,0,12,0,0,15
"Argentina","Enzo Fernandez","MF",21,6.3,412,471,87.5,6639,1694,209,230,90.9,157,175,89.7,33,45,73.3,1,0.9,0.8,0.1,6,43,9,1,34
"Argentina","Julian Alvarez","FW",22,5.2,93,121,76.9,1169,132,61,72,84.7,18,25,72,5,6,83.3,0,0.1,0.7,0.1,2,2,2,1,5
"Argentina","Marcos Acuna","DF,FW",30,4.1,167,217,77,2683,679,97,113,85.8,60,73,82.2,9,21,42.9,0,0.3,0.4,0.3,5,9,2,0,13
"Argentina","Angel Di Maria","MF,FW",34,3.2,129,167,77.2,2059,474,73,77,94.8,42,52,80.8,10,23,43.5,1,0.6,0.7,0.4,10,3,11,3,20
"Argentina","Nicolas Tagliafico","DF",29,4.1,146,179,81.6,2006,518,99,110,90,40,47,85.1,5,12,41.7,0,0.2,0.2,0.2,2,6,1,0,8
"Argentina","Lisandro Martinez","DF",24,3.4,133,156,85.3,2311,821,63,70,90,57,64,89.1,13,21,61.9,0,0.7,0,0.7,1,11,1,0,6
"Argentina","Lautaro Martinez","FW",24,2.7,47,63,74.6,579,21,33,40,82.5,11,15,73.3,1,1,100,0,0,0,0,1,0,0,0,0
"Argentina","Leandro Paredes","MF",27,2.5,230,246,93.5,3710,1331,109,113,96.5,104,110,94.5,12,16,75,0,0,0.1,0,2,18,1,0,14
"Argentina","Papu Gomez","MF,FW",34,1.2,53,60,88.3,671,74,40,43,93,11,12,91.7,2,2,100,0,0,0,0,0,2,0,0,5
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,69,81,85.2,954,310,39,42,92.9,26,28,92.9,1,3,33.3,0,0.3,0.3,0.3,3,4,0,0,4
"Argentina","Guido Rodriguez","MF",28,0.6,54,64,84.4,871,342,30,33,90.9,19,24,79.2,4,6,66.7,0,0,0,0,0,2,0,0,1
"Argentina","German Pezzella","DF",30,0.7,42,45,93.3,628,234,22,22,100,20,21,95.2,0,1,0,0,0,0,0,0,1,0,0,2
"Argentina","Exequiel Palacios","MF,DF",23,0.6,25,28,89.3,251,108,16,17,94.1,4,4,100,0,1,0,0,0.1,0.1,0.1,1,5,1,0,3
"Argentina","Paulo Dybala","FW",28,0.2,8,12,66.7,100,35,4,7,57.1,3,4,75,0,0,,0,0.2,0.1,0.2,1,0,1,0,2
"Argentina","Thiago Almada","MF",21,0.1,13,13,100,207,26,5,5,100,7,7,100,0,0,,0,0.2,0.1,0.2,1,0,1,0,2
"Argentina","Angel Correa","MF",27,0.1,3,3,100,32,17,2,2,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
"Argentina","Juan Foyth","DF",24,0.1,3,4,75,31,13,3,3,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
