"Squad","Date","Comp","Round","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation"
"Morocco",2021-02-09,"WCQ","Second round","W",2,0,"Sudan",,,,,"Romain Saiss","4-2-3-1"
"Morocco",2021-06-10,"WCQ","Second round","W",5,0,"Guinea-Bissau",,,,,"Romain Saiss","4-1-3-2"
"Morocco",2021-09-10,"WCQ","Second round","W",3,0,"Guinea-Bissau",,,,,"Romain Saiss","4-1-3-2"
"Morocco",2021-12-10,"WCQ","Second round","W",4,1,"Guinea",,,,,"Romain Saiss","4-1-3-2"
"Morocco",2021-12-11,"WCQ","Second round","W",3,0,"Sudan",,,,,"Romain Saiss","4-1-4-1"
"Morocco",2021-11-16,"WCQ","Second round","W",3,0,"Guinea",,,,,"Yassine Bounou","4-1-3-2"
"Morocco",2022-03-25,"WCQ","Third round","D",1,1,"Congo DR",,,,,"Romain Saiss","3-3-2-2"
"Morocco",2022-03-29,"WCQ","Third round","W",4,1,"Congo DR",,,,,"Romain Saiss","3-3-2-2"
"Morocco",2022-01-06,"Friendlies (M)","Friendlies (M)","L",0,3,"United States",,,,"19512","Romain Saiss",2004-04-02
"Morocco",2022-09-23,"Friendlies (M)","Friendlies (M)","W",2,0,"Chile",,,,,"Romain Saiss","4-1-4-1"
"Morocco",2022-09-27,"Friendlies (M)","Friendlies (M)","D",0,0,"Paraguay",,,,,"Romain Saiss","4-1-4-1"
"Morocco",2022-11-17,"Friendlies (M)","Friendlies (M)","W",3,0,"Georgia",,,,10000,"Romain Saiss","4-1-4-1"
"Morocco",2022-11-23,"World Cup","Group stage","D",0,0,"Croatia",0.4,0.5,36,59407,"Romain Saiss",2003-04-03
"Morocco",2022-11-27,"World Cup","Group stage","W",2,0,"Belgium",1.5,1,33,43738,"Romain Saiss",2003-04-03
"Morocco",2022-01-12,"World Cup","Group stage","W",2,1,"Canada",0.5,1.4,42,43102,"Romain Saiss",2003-04-03
"Morocco",2022-06-12,"World Cup","Round of 16","D","0 (3)","0 (0)","Spain",0.7,1,24,44667,"Romain Saiss",2003-04-03
"Morocco",2022-10-12,"World Cup","Quarter-finals","W",1,0,"Portugal",1.4,0.9,27,44198,"Romain Saiss",2003-04-03
"Morocco",2022-12-14,"World Cup","Semi-finals","L",0,2,"France",0.9,2,61,68294,"Romain Saiss",2001-05-04
"Morocco",2022-12-17,"World Cup","Third-place match","L",1,2,"Croatia",1.2,0.7,50,44137,"Hakim Ziyech",2003-04-03
"France",2021-03-24,"WCQ","First round","D",1,1,"Ukraine",,,63,,"Hugo Lloris","4-2-2-2"
"France",2021-03-28,"WCQ","First round","W",2,0,"Kazakhstan",,,63,,"Hugo Lloris","4-2-3-1"
"France",2021-03-31,"WCQ","First round","W",1,0,"Bosnia +ACY- Herz'na",,,56,,"Hugo Lloris",2002-04-04
"France",2021-01-09,"WCQ","First round","D",1,1,"Bosnia +ACY- Herz'na",,,54,21754,"Hugo Lloris",2003-04-03
"France",2021-04-09,"WCQ","First round","D",1,1,"Ukraine",,,62,48000,"Hugo Lloris",2002-04-04
"France",2021-07-09,"WCQ","First round","W",2,0,"Finland",,,64,57057,"Hugo Lloris","5-2-1-2"
"France",2021-11-13,"WCQ","First round","W",8,0,"Kazakhstan",,,66,45551,"Hugo Lloris","3-4-1-2"
"France",2021-11-16,"WCQ","First round","W",2,0,"Finland",,,53,31890,"Hugo Lloris",2003-03-04
"France",2022-03-25,"Friendlies (M)","Friendlies (M)","W",2,1,"Cote d'Ivoire",,,,62510,"Hugo Lloris","3-4-1-2"
"France",2022-03-29,"Friendlies (M)","Friendlies (M)","W",5,0,"South Africa",,,,48120,"Raphael Varane","3-4-1-2"
"France",2022-11-22,"World Cup","Group stage","W",4,1,"Australia",4,0.5,62,40875,"Hugo Lloris","4-2-3-1"
"France",2022-11-26,"World Cup","Group stage","W",2,1,"Denmark",2.4,0.6,49,42860,"Hugo Lloris","4-2-3-1"
"France",2022-11-30,"World Cup","Group stage","L",0,1,"Tunisia",0.8,0.5,65,43627,"Raphael Varane",2003-04-03
"France",2022-04-12,"World Cup","Round of 16","W",3,1,"Poland",1.4,1.7,55,40989,"Hugo Lloris","4-2-3-1"
"France",2022-10-12,"World Cup","Quarter-finals","W",2,1,"England",0.9,2.4,43,68895,"Hugo Lloris","4-2-3-1"
"France",2022-12-14,"World Cup","Semi-finals","W",2,0,"Morocco",2,0.9,39,68294,"Hugo Lloris","4-2-3-1"
"France",2022-12-18,"World Cup","Final","D","3 (2)","3 (4)","Argentina",2.2,3.2,46,88966,"Hugo Lloris","4-2-3-1"
"Croatia",2021-03-24,"WCQ","First round","L",0,1,"Slovenia",,,69,,"Luka Modric","4-2-3-1"
"Croatia",2021-03-27,"WCQ","First round","W",1,0,"Cyprus",,,69,,"Luka Modric","4-1-4-1"
"Croatia",2021-03-30,"WCQ","First round","W",3,0,"Malta",,,67,,"Domagoj Vida","4-2-3-1"
"Croatia",2021-01-09,"WCQ","First round","D",0,0,"Russia",,,60,18708,"Ivan Perisic","4-2-3-1"
"Croatia",2021-04-09,"WCQ","First round","W",1,0,"Slovakia",,,55,9047,"Domagoj Vida","4-1-4-1"
"Croatia",2021-07-09,"WCQ","First round","W",3,0,"Slovenia",,,64,16237,"Ivan Perisic","4-2-3-1"
"Croatia",2021-08-10,"WCQ","First round","W",3,0,"Cyprus",,,75,2333,"Luka Modric","4-1-4-1"
"Croatia",2021-11-10,"WCQ","First round","D",2,2,"Slovakia",,,69,9926,"Luka Modric","4-1-4-1"
"Croatia",2021-11-11,"WCQ","First round","W",7,1,"Malta",,,67,4581,"Luka Modric",2003-04-03
"Croatia",2021-11-14,"WCQ","First round","W",1,0,"Russia",,,68,30257,"Luka Modric",2003-04-03
"Croatia",2022-03-26,"Friendlies (M)","Friendlies (M)","D",1,1,"Slovenia",,,,,"Luka Modric",2002-03-05
"Croatia",2022-03-29,"Friendlies (M)","Friendlies (M)","W",2,1,"Bulgaria",,,,,"Domagoj Vida","3-1-4-2"
"Croatia",2022-11-16,"Friendlies (M)","Friendlies (M)","W",1,0,"saiSaudi Arabia",,,,8287,"Dejan Lovren","4-1-4-1"
"Croatia",2022-11-23,"World Cup","Group stage","D",0,0,"Morocco",0.5,0.4,64,59407,"Luka Modric",2003-04-03
"Croatia",2022-11-27,"World Cup","Group stage","W",4,1,"Canada",2.6,0.4,49,44374,"Luka Modric",2003-04-03
"Croatia",2022-01-12,"World Cup","Group stage","D",0,0,"Belgium",0.7,3,49,43984,"Luka Modric",2003-04-03
"Croatia",2022-05-12,"World Cup","Round of 16","D","1 (3)","1 (1)","Japan",1.4,1.2,58,42523,"Luka Modric",2003-04-03
"Croatia",2022-09-12,"World Cup","Quarter-finals","D","1 (4)","1 (2)","Brazil",0.6,2.5,50,43893,"Luka Modric",2003-04-03
"Croatia",2022-12-13,"World Cup","Semi-finals","L",0,3,"Argentina",0.5,2.3,60,88966,"Luka Modric",2003-04-03
"Croatia","2022-13-17","World Cup","Third-place match","W",2,1,"Morocco",0.7,1.2,50,44137,"Luka Modric","4-2-3-1"
"Argentina",2020-08-10,"WCQ","WCQ CONMEBOL (M)","W",1,0,"Ecuador",,,58,,"Lionel Messi","4-3-2-1"
"Argentina",2020-10-13,"WCQ","WCQ CONMEBOL (M)","W",2,1,"Bolivia",,,43,,"Lionel Messi",2003-04-03
"Argentina",2020-12-11,"WCQ","WCQ CONMEBOL (M)","D",1,1,"Paraguay",,,69,,"Lionel Messi",2003-03-04
"Argentina",2020-11-17,"WCQ","WCQ CONMEBOL (M)","W",2,0,"Peru",,,47,,"Lionel Messi","4-4-1-1"
"Argentina",2021-03-06,"WCQ","WCQ CONMEBOL (M)","D",1,1,"Chile",,,54,,"Lionel Messi","4-2-2-2"
"Argentina",2021-08-06,"WCQ","WCQ CONMEBOL (M)","D",2,2,"Colombia",,,52,,"Lionel Messi",2003-04-03
"Argentina",2021-02-09,"WCQ","WCQ CONMEBOL (M)","W",3,1,"Venezuela",,,73,,"Lionel Messi",2002-04-04
"Argentina",2021-05-09,"WCQ","WCQ CONMEBOL (M)",,0,0,"Brazil",,,50,,"Lionel Messi","4-4-1-1"
"Argentina",2021-09-09,"WCQ","WCQ CONMEBOL (M)","W",3,0,"Bolivia",,,71,,"Lionel Messi",2002-04-04
"Argentina",2021-07-10,"WCQ","WCQ CONMEBOL (M)","D",0,0,"Paraguay",,,70,,"Lionel Messi","4-2-3-1"
"Argentina",2021-10-10,"WCQ","WCQ CONMEBOL (M)","W",3,0,"Uruguay",,,62,,"Lionel Messi","4-2-3-1"
"Argentina",2021-10-14,"WCQ","WCQ CONMEBOL (M)","W",1,0,"Peru",,,68,,"Lionel Messi",2003-04-03
"Argentina",2021-12-11,"WCQ","WCQ CONMEBOL (M)","W",1,0,"Uruguay",,,64,,"Angel Di Maria","4-2-3-1"
"Argentina",2021-11-16,"WCQ","WCQ CONMEBOL (M)","D",0,0,"Brazil",,,56,,"Lionel Messi",2003-04-03
"Argentina",2022-01-27,"WCQ","WCQ CONMEBOL (M)","W",2,1,"Chile",,,40,,"Angel Di Maria",2003-04-03
"Argentina",2022-01-02,"WCQ","WCQ CONMEBOL (M)","W",1,0,"Colombia",,,56,,"Angel Di Maria",2003-04-03
"Argentina",2022-03-25,"WCQ","WCQ CONMEBOL (M)","W",3,0,"Venezuela",,,73,,"Lionel Messi","4-2-3-1"
"Argentina",2022-03-29,"WCQ","WCQ CONMEBOL (M)","D",1,1,"Ecuador",,,53,,"Lionel Messi",2003-04-03
"Argentina",2022-05-06,"Friendlies (M)","Friendlies (M)","W",5,0,"Estonia",,,,18332,"Lionel Messi","4-3-1-2"
"Argentina",2022-09-23,"Friendlies (M)","Friendlies (M)","W",3,0,"Honduras",,,,64420,"Lionel Messi","4-1-4-1"
"Argentina",2022-09-27,"Friendlies (M)","Friendlies (M)","W",3,0,"Jamaica",,,,,"Angel Di Maria",2003-04-03
"Argentina",2022-11-16,"Friendlies (M)","Friendlies (M)","W",5,0,"UAE",,,,,"Lionel Messi","4-2-2-2"
"Argentina",2022-11-22,"World Cup","Group stage","L",1,2,"saiSaudi Arabia",2.2,0.1,69,88012,"Lionel Messi",2002-04-04
"Argentina",2022-11-26,"World Cup","Group stage","W",2,0,"Mexico",0.3,0.3,58,88966,"Lionel Messi",2002-04-04
"Argentina",2022-11-30,"World Cup","Group stage","W",2,0,"Poland",3.5,0.3,73,44089,"Lionel Messi",2003-04-03
"Argentina",2022-03-12,"World Cup","Round of 16","W",2,1,"Australia",1.6,0.6,60,45032,"Lionel Messi",2003-04-03
"Argentina",2022-09-12,"World Cup","Quarter-finals","D","2 (4)","2 (3)","nl Netherlands",1.9,0.6,48,88235,"Lionel Messi",2002-05-03
"Argentina",2022-12-13,"World Cup","Semi-finals","W",3,0,"Croatia",2.3,0.5,40,88966,"Lionel Messi",2002-04-04
"Argentina",2022-12-18,"World Cup","Final","D","3 (4)","3 (2)","France",3.2,2.2,54,88966,"Lionel Messi",2003-04-03
